title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"A Mighty Heart",movie,"Biography, Drama, History",2007,tt0829459,6.6,28347,"AT, CH, DE, FR, GB, IE, IT"
"My Blueberry Nights",movie,"Drama, Romance",2007,tt0765120,6.6,57030,DE
"Death Proof",movie,"Action, Drama, Thriller",2007,tt1028528,7,319244,"BR, CL, CO, MX"
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,226117,"BR, CL, CO, MX"
"Aguirre, the Wrath of God",movie,"Action, Adventure, Biography",1972,tt0068182,7.8,63711,"DE, GB"
"We Own the Night",movie,"Action, Crime, Drama",2007,tt0498399,6.8,94072,"BR, MX, US"
"The Last Mistress",movie,"Drama, Romance",2007,tt0437526,6.2,3843,US
"4 Months, 3 Weeks and 2 Days",movie,Drama,2007,tt1032846,7.9,63919,US
Persepolis,movie,"Animation, Biography, Drama",2007,tt0808417,8,101412,DE
"Hard Target",movie,"Action, Crime, Thriller",1993,tt0107076,6.2,57858,AU
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114142,US
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,483648,US
Moonstruck,movie,"Comedy, Drama, Romance",1987,tt0093565,7.2,70722,"BR, CL, CO, MX"
"Along Came a Spider",movie,"Crime, Drama, Mystery",2001,tt0164334,6.4,97609,"AT, CH, DE, FR, GB, IE, US"
Unforgettable,movie,"Drama, Mystery, Sci-Fi",1996,tt0118040,6,6111,US
"The Gift",movie,"Drama, Fantasy, Horror",2000,tt0219699,6.7,76264,US
"Original Sin",movie,"Crime, Drama, Mystery",2001,tt0218922,6,60799,BR
Pusher,movie,"Crime, Thriller",1996,tt0117407,7.3,45612,GB
Halloween,movie,Horror,2007,tt0373883,6,133363,"CA, US"
"Romeo Is Bleeding",movie,"Crime, Drama, Romance",1993,tt0107983,6.5,15482,"BR, CL, CO, MX"
Cutaway,movie,"Action, Crime",2000,tt0211792,5.2,1800,US
Amsterdamned,movie,"Action, Crime, Horror",1988,tt0094651,6.6,9817,"CA, US"
"Desert Saints",movie,"Action, Romance, Thriller",2002,tt0167116,6,3477,US
"The Last Castle",movie,"Action, Drama, Thriller",2001,tt0272020,6.9,86565,"AT, CH, DE, FR, GB, IE, IT"
"Solar Crisis",movie,"Sci-Fi, Thriller",1990,tt0100649,4.1,2149,US
"American Pie",movie,Comedy,1999,tt0163651,7,442643,AU
"The Breakfast Club",movie,"Comedy, Drama",1985,tt0088847,7.8,447094,AU
"Out of Time",movie,"Crime, Drama, Mystery",2003,tt0313443,6.5,66776,US
"Days of Thunder",movie,"Action, Drama, Sport",1990,tt0099371,6.1,98128,US
"Me, Myself & Irene",movie,Comedy,2000,tt0183505,6.6,254912,US
"Kiss of the Dragon",movie,"Action, Crime, Thriller",2001,tt0271027,6.6,67345,IN
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,108907,"AT, AU, CH, DE, FR, GB, IE, IT, US"
"The Cotton Club",movie,"Crime, Drama, Music",1984,tt0087089,6.5,20044,US
"The Driver",movie,"Action, Crime, Thriller",1978,tt0077474,7.1,19999,GB
"Reindeer Games",movie,"Action, Crime, Thriller",2000,tt0184858,5.8,42792,US
